START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
    #unsat    #unsat     noise   std dev     ratio     flips              length       flips       flips
      this      this      this      this      this      this   success   success       until         std
       try       try       try       try       try       try      rate     tries      assign         dev

         0         0      3.84      1.64      2.34      1310       100      1310     1310.00
         0         0      4.76      2.55      1.87      3298       100      2304     2304.00     1405.73
         0         0      4.62      3.29      1.41      2547       100      2385     2385.00     1003.85
         0         0      5.24      3.17      1.66      3105       100      2565     2565.00      895.22
         0         0      6.38      2.85      2.24      5447       100      3141     3141.40     1504.08
         0         0      5.93      3.25      1.82      5694       100      3566     3566.83     1701.69
         0         0      5.41      3.66      1.48      2657       100      3436     3436.86     1591.03
         0         0      4.17      3.33      1.25      3210       100      3408     3408.50     1475.19
         0         0      7.28      3.22      2.26      3595       100      3429     3429.22     1381.32
         0         0      5.83      3.64      1.60      3721       100      3458     3458.40     1305.58

total elapsed seconds = 0.000000
average flips per second = -9223372036854775808
number solutions found = 10
final success rate = 100.000000
average length successful tries = 3458
mean flips until assign = 3458.400000
  variance = 1704543.600000
  standard deviation = 1305.581709
  standard error of mean = 412.861187
mean seconds until assign = 0.000000
  variance = 0.000000
  standard deviation = 0.000000
  standard error of mean = 0.000000
mean restarts until assign = 1.000000
  variance = 0.000000
  standard deviation = 0.000000
  standard error of mean = 0.000000
final noise level statistics
    statistics over all runs:
      overall mean average noise level = 5.345574
      overall mean noise std deviation = 3.059003
      overall ratio mean noise to mean std dev = 1.747489
    statistics on successful runs:
      successful mean average noise level = 5.345574
      successful mean noise std deviation = 3.059003
      successful ratio mean noise to mean std dev = 1.747489
    statistics on nonsuccessful runs:
      nonsuccessful mean average noise level = 0.000000
      nonsuccessful mean noise std deviation = 0.000000
      nonsuccessful ratio mean noise to mean std dev = 0.000000
ASSIGNMENT FOUND
Check and white a solution
time of whitening    freezing probability
6	 	 	 	1
6	 	 	 	1
1023	 	 	 	0.216666667
6	 	 	 	1
1023	 	 	 	0.216666667
6	 	 	 	1
7	 	 	 	1
9	 	 	 	1
6	 	 	 	1
8	 	 	 	1
